city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",158.8,155.6,157.0,163.6,0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,147.2,153.4,168.2,168.0,0
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",152.4,157.8,160.8,152.4,0
Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,147.6,148.8,153.6,153.2,0
Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,field,Subrata Roy Sahara Stadium,143.8,151.8,163.4,163.6,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,152.2,140.8,141.2,148.2,0
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",149.6,149.2,169.8,160.6,1
Jaipur,Rajasthan Royals,Rising Pune Supergiant,Rajasthan Royals,bat,Sawai Mansingh Stadium,144.2,136.4,139.6,151.0,1
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"Punjab Cricket Association Stadium, Mohali",158.2,160.0,169.8,176.2,1
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,157.8,152.0,142.8,140.8,0
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,160.2,162.6,143.6,137.8,0
Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Feroz Shah Kotla,151.2,149.6,163.4,163.8,1
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,158.0,152.0,151.4,155.4,0
Dharamsala,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,159.4,162.0,147.0,144.4,1
Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Feroz Shah Kotla,148.8,146.6,165.8,159.2,0
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,"Rajiv Gandhi International Stadium, Uppal",170.6,180.4,148.0,131.0,1
Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,151.4,154.4,158.8,161.4,0
Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,130.0,147.8,151.4,149.2,0
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",166.2,173.6,177.2,165.4,1
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,145.0,127.8,155.6,156.2,0
Pune,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,157.2,158.8,148.6,141.0,0
Bangalore,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,139.0,139.0,153.4,154.0,1
Chennai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,"MA Chidambaram Stadium, Chepauk",147.4,153.8,141.8,134.0,0
Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",150.2,139.2,160.8,136.0,1
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Eden Gardens,157.6,140.8,151.8,175.2,1
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,164.8,155.6,155.0,163.0,1
Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,"Rajiv Gandhi International Stadium, Uppal",156.4,161.2,126.6,151.0,1
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,149.4,173.8,142.0,133.6,0
Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk",175.8,151.6,149.4,163.2,0
Pune,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,118.8,146.2,152.8,148.0,0
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",152.6,148.0,167.6,158.2,1
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,149.8,140.6,151.8,134.4,1
Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Wankhede Stadium,144.4,156.8,142.6,163.8,1
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,162.0,160.6,145.2,138.4,1
Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali",138.8,138.8,171.6,149.6,0
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,160.2,158.2,148.8,141.6,1
Pune,Rising Pune Supergiant,Rajasthan Royals,Rajasthan Royals,bat,Subrata Roy Sahara Stadium,113.6,141.0,153.4,140.2,1
Delhi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Feroz Shah Kotla,146.6,177.4,139.4,132.0,0
Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Wankhede Stadium,164.6,161.8,115.6,135.4,1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",175.4,152.6,148.8,150.2,1
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,152.4,152.8,136.8,129.6,1
Jaipur,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,148.4,144.8,127.6,128.6,1
Chennai,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,"MA Chidambaram Stadium, Chepauk",171.2,155.8,119.0,138.0,0
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,157.2,157.0,140.6,168.0,1
Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"Punjab Cricket Association Stadium, Mohali",125.2,125.8,156.0,150.4,1
Pune,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Maharashtra Cricket Association Stadium,130.4,137.8,136.8,141.0,0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,148.4,144.0,168.6,157.8,1
Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Feroz Shah Kotla,146.0,157.0,153.8,160.4,0
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,"Rajiv Gandhi International Stadium, Uppal",135.4,141.8,132.0,132.4,1
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,148.2,143.8,149.6,138.6,0
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,159.4,158.8,151.8,129.8,1
Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Feroz Shah Kotla,137.0,165.0,157.2,156.2,1
Chandigarh,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",128.4,128.8,131.2,136.4,1
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",146.6,132.8,142.2,122.4,1
Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,field,M Chinnaswamy Stadium,155.0,152.2,148.4,153.6,1
Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,138.0,164.2,145.6,146.0,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,146.2,143.0,158.6,158.0,0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,"MA Chidambaram Stadium, Chepauk",156.0,142.2,130.8,137.4,1
Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,153.0,146.6,142.2,142.2,1
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,161.4,162.0,175.2,146.6,1
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sawai Mansingh Stadium,150.4,134.6,130.4,137.0,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",154.8,141.0,152.2,144.8,1
Raipur,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Shaheed Veer Narayan Singh International Stadium,129.0,146.6,145.4,177.2,1
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sawai Mansingh Stadium,150.6,133.8,170.8,154.6,1
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Wankhede Stadium,158.4,156.2,147.2,147.0,1
Pune,Rising Pune Supergiant,Chennai Super Kings,Chennai Super Kings,bat,Subrata Roy Sahara Stadium,146.8,173.4,167.8,146.4,0
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,"Rajiv Gandhi International Stadium, Uppal",136.2,143.4,156.6,161.8,1
Raipur,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Shaheed Veer Narayan Singh International Stadium,139.0,153.4,153.4,158.4,1
Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",166.8,155.2,149.8,151.2,1
Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Subrata Roy Sahara Stadium,140.4,179.2,172.0,156.0,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,150.0,154.4,160.0,143.2,1
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,"Rajiv Gandhi International Stadium, Uppal",135.8,133.2,133.8,147.2,1
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,164.0,152.0,179.2,165.6,1
Jaipur,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiant,bat,Sawai Mansingh Stadium,150.6,151.4,152.8,192.8,1
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",159.4,163.0,176.0,157.4,1
Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,163.6,162.4,133.2,129.6,1
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Wankhede Stadium,159.6,134.8,152.8,156.0,1
Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",128.2,127.6,157.8,156.4,0
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",161.0,164.0,157.6,156.0,0
Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,151.4,192.0,142.0,157.6,0
Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Feroz Shah Kotla,131.0,128.4,189.4,172.8,0
Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,146.0,169.8,161.2,124.0,0
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",165.8,169.4,132.0,147.6,0
Ranchi,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,JSCA International Stadium Complex,142.4,149.0,173.4,182.0,1
Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,157.8,156.2,170.4,153.8,1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Wankhede Stadium,145.6,119.2,130.2,139.6,1
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",158.6,145.4,142.8,140.8,1
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,169.2,166.4,160.0,169.4,0
Ranchi,Kolkata Knight Riders,Rising Pune Supergiant,Kolkata Knight Riders,field,JSCA International Stadium Complex,128.4,132.0,138.6,160.2,0
Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,147.6,120.8,152.0,150.2,1
Dharamsala,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Himachal Pradesh Cricket Association Stadium,161.2,169.4,137.0,144.6,1
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",137.0,147.2,156.0,156.8,1
Dharamsala,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Himachal Pradesh Cricket Association Stadium,161.2,165.0,155.0,125.2,1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,169.8,167.0,159.4,147.0,1
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",138.2,144.0,133.8,138.6,1
Pune,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,bat,Subrata Roy Sahara Stadium,147.2,160.0,142.4,151.6,1
Delhi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Feroz Shah Kotla,138.6,134.0,153.8,146.0,1
Delhi,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,142.2,148.4,148.4,154.0,1
Kolkata,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,148.6,163.4,138.2,144.0,1
Kolkata,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,161.2,135.0,159.2,174.0,0
Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,152.0,163.4,133.2,138.6,0
Abu Dhabi,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Sheikh Zayed Stadium,141.6,135.4,159.0,153.6,0
Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,145.6,136.4,141.8,148.8,0
Abu Dhabi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Sheikh Zayed Stadium,154.4,147.8,149.0,164.6,1
Abu Dhabi,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Sheikh Zayed Stadium,151.8,153.4,138.0,133.6,1
Abu Dhabi,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Sheikh Zayed Stadium,154.4,147.8,189.2,162.8,0
Abu Dhabi,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Sheikh Zayed Stadium,143.6,140.2,139.0,141.0,0
Ranchi,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,JSCA International Stadium Complex,162.0,141.8,150.2,146.4,1
Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,bat,Wankhede Stadium,132.0,143.8,170.2,150.0,1
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,140.4,159.6,138.6,139.8,0
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,120.8,121.6,151.0,162.2,1
Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Sardar Patel Stadium, Motera",142.8,143.6,140.4,151.6,1
Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,141.8,161.6,150.6,123.4,0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,141.6,144.8,123.2,123.6,1
Cuttack,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Barabati Stadium,162.6,143.0,151.4,142.2,1
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Feroz Shah Kotla,144.0,164.6,139.2,152.2,0
Ahmedabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,"Sardar Patel Stadium, Motera",138.6,137.0,155.4,166.8,0
Bangalore,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,133.6,138.0,170.2,142.2,0
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,159.2,161.4,158.0,148.6,0
Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,156.0,155.2,160.8,161.8,0
Cuttack,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Barabati Stadium,171.2,151.2,141.4,154.6,0
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,M Chinnaswamy Stadium,137.2,147.6,132.4,135.8,0
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",130.0,141.2,159.2,158.8,0
Ranchi,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,JSCA International Stadium Complex,164.4,165.0,156.4,159.8,1
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,161.2,171.6,151.8,133.4,1
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",132.4,144.0,174.6,159.4,0
Cuttack,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Barabati Stadium,149.6,158.0,166.2,165.0,1
Ahmedabad,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,"Sardar Patel Stadium, Motera",153.4,157.0,160.6,145.6,1
Ranchi,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,JSCA International Stadium Complex,165.0,165.6,173.6,180.2,0
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",139.0,154.8,145.4,153.6,0
Delhi,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,158.0,154.6,191.4,175.6,0
Ahmedabad,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",162.4,154.4,163.0,159.0,0
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens,151.8,152.4,163.0,171.2,1
Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",136.4,152.4,170.4,176.8,1
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",190.8,174.4,164.6,156.0,0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,151.0,149.2,168.8,171.6,1
Ranchi,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,JSCA International Stadium Complex,157.6,166.8,141.8,164.0,0
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Wankhede Stadium,159.0,153.6,155.2,151.4,1
Chandigarh,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",175.8,168.8,159.0,158.0,1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,168.6,171.0,157.2,158.4,0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Eden Gardens,157.8,150.2,170.8,172.4,1
Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",172.0,168.2,154.8,153.8,1
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Wankhede Stadium,162.2,153.2,171.2,167.0,1
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Eden Gardens,166.0,161.2,160.0,152.4,0
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Brabourne Stadium,157.2,157.8,169.2,159.6,1
Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Wankhede Stadium,162.6,162.8,150.8,152.8,0
Bangalore,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,M Chinnaswamy Stadium,164.2,151.2,163.0,160.4,1
Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Eden Gardens,175.0,162.6,175.6,166.4,1
Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,"MA Chidambaram Stadium, Chepauk",175.4,179.6,149.2,168.8,1
Pune,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Maharashtra Cricket Association Stadium,171.6,168.6,170.8,168.0,0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",174.6,178.2,171.4,172.6,1
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,177.8,165.4,161.4,164.8,0
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Feroz Shah Kotla,145.0,161.6,173.6,165.4,0
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,173.6,169.8,163.0,168.4,0
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,160.0,166.2,163.2,172.2,0
Ahmedabad,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera",170.6,174.4,173.6,174.0,1
Pune,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Maharashtra Cricket Association Stadium,174.6,177.2,154.0,158.6,0
Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,169.2,176.2,173.0,171.6,0
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium,171.8,175.4,179.4,173.2,0
Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,162.4,170.4,155.0,158.6,0
Pune,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium,180.6,178.4,174.2,168.2,0
Ahmedabad,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,"Sardar Patel Stadium, Motera",166.6,161.2,185.2,179.0,1
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,164.8,173.0,169.4,175.4,0
Delhi,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Feroz Shah Kotla,156.8,156.6,173.8,167.2,0
Ahmedabad,Rajasthan Royals,Punjab Kings,Punjab Kings,field,"Sardar Patel Stadium, Motera",160.2,153.4,166.4,169.8,0
Visakhapatnam,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.2,166.8,170.6,169.4,1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,171.0,182.6,181.2,175.8,0
Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Feroz Shah Kotla,163.0,162.2,176.6,178.4,1
Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Sardar Patel Stadium, Motera",167.2,167.4,168.8,179.8,0
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Wankhede Stadium,173.6,182.4,160.4,154.8,1
Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",177.0,161.4,167.8,169.2,1
Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,171.2,162.8,164.8,173.8,0
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",159.6,175.2,155.0,144.4,0
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk",185.4,150.6,150.8,164.8,1
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens,143.2,158.0,170.4,144.2,1
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Feroz Shah Kotla,153.4,145.4,150.2,173.4,1
Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium,173.2,174.4,156.0,157.4,1
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,148.8,157.4,141.6,155.2,1
Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,"Rajiv Gandhi International Stadium, Uppal",150.6,137.2,165.6,141.4,1
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",140.8,163.4,177.8,177.2,0
Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Brabourne Stadium,158.8,162.0,143.4,136.0,1
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",168.4,148.4,138.6,145.2,1
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens,132.0,147.2,163.6,145.0,1
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Wankhede Stadium,175.6,169.2,145.0,141.2,1
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,125.2,133.0,139.6,166.0,1
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,136.0,144.4,146.2,142.4,1
Mumbai,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Brabourne Stadium,170.4,171.6,157.4,145.0,0
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",161.8,142.4,164.4,161.4,0
Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,150.0,140.8,116.0,171.8,1
Raipur,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Shaheed Veer Narayan Singh International Stadium,139.8,146.0,162.4,163.6,0
