city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali",169.0,177.6,167.2,150.8,1
Nagpur,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,"Vidarbha Cricket Association Stadium, Jamtha",149.2,174.8,182.6,176.6,1
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,168.4,179.2,176.4,169.8,1
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,179.8,150.4,171.8,171.8,0
Jaipur,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,167.4,180.8,161.8,146.4,0
Nagpur,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Vidarbha Cricket Association Stadium, Jamtha",150.8,168.0,167.6,174.6,1
Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,162.2,147.6,165.4,139.6,1
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",174.2,168.2,171.8,173.4,1
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Sawai Mansingh Stadium,159.4,183.6,163.0,172.4,0
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",170.8,160.6,158.8,148.8,0
Dharamsala,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Himachal Pradesh Cricket Association Stadium,161.6,161.2,149.6,159.4,0
Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,152.6,162.2,166.0,143.8,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,172.2,166.6,161.2,172.4,1
Dharamsala,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,160.2,160.0,160.8,151.0,0
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,143.8,147.0,162.2,158.6,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,162.6,161.6,168.6,147.6,1
Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,150.0,163.6,167.0,141.6,0
Mumbai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dr DY Patil Sports Academy,150.6,144.8,159.8,153.6,1
Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Dr DY Patil Sports Academy,143.0,163.2,143.4,145.2,1
